season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard,backwardPass,bigChanceCreated,bigChanceMissed,fwdPass,leftsidePass,overrun,rightsidePass,unsuccessfulTouch,penaltySave,attOneOnOne,contentiousDecision,saves,attemptedTackleFoul,blockedPass,putThrough,subsGoals,successfulPutThrough,ptsDroppedWinningPos,ptsGainedLosingPos,attLgRight,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,keeperGoals,totalDistance,winningGoal
2011-12,360844,38.0,2012-05-13 15:00:00,56,Sunderland,Home,111.0,16.0,1.0,3.0,2.0,2.0,,146.0,4.0,1.0,3.0,7.0,11.0,29.0,254.0,,,15.0,11.0,13.0,4.0,1.0,,,,,,,,,,,,,6.0,,,,,,1.0,13.0,8.0,,,,47.0,,3.0,4.0,7.0,,1.0,5.0,5.0,,14.0,3.0,56.0,46.0,3.0,16.0,7.0,,,56.0,14.0,11.0,,,1.0,2.0,,,,,,,,9.0,,,,2.0,,,,,12.0,,21.0,15.0,1.0,5.0,73.0,32.0,9.0,,2.0,3.0,2.0,,,,4.0,,43.0,58.0,11.0,,,,,146.0,135.0,2.0,20.0,14.0,35.5,,1.0,0.0,,,,5.0,1.0,,,,2.0,,3.0,54.0,,5.0,132.0,32.0,27.0,12.0,1.0,13.0,12.0,,89.0,11.0,218.0,2.0,1.0,23.0,14.0,55.0,,337.0,,0.0,8.0,20.0,,20.0,3.0,525.0,,2.0,1.0,17.0,0.0,62.0,,,123.0,81.0,,71.0,6.0,,,,,,,,,,,,,,,,,,,,
2012-13,441999,1.0,2012-08-18 15:00:00,56,Sunderland,Away,154.0,7.0,,,,,,74.0,6.0,,,11.0,7.0,25.0,228.0,,1.0,10.0,12.0,14.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,11.0,12.0,2.0,2.0,,50.0,,4.0,1.0,23.0,,,1.0,1.0,,9.0,2.0,59.0,58.0,4.0,22.0,10.0,,1.0,47.0,9.0,12.0,,,2.0,2.0,,,,,,,,14.0,,,,1.0,,,,1.0,19.0,,22.0,16.0,4.0,,64.0,32.0,7.0,,1.0,2.0,2.0,282.0,,,9.0,,42.0,34.0,5.0,,,,,119.0,119.0,,34.0,14.0,29.9,,1.0,0.0,,,,,3.0,,,,1.0,,3.0,35.0,216.0,3.0,178.0,14.0,34.0,11.0,,4.0,4.0,,65.0,15.0,134.0,1.0,,34.0,8.0,55.0,1.0,308.0,,0.0,4.0,28.0,1.0,18.0,0.0,485.0,2.0,4.0,,17.0,0.0,46.0,1.0,1.0,120.0,78.0,2.0,64.0,8.0,,1.0,,3.0,,,,,,,,,,,,,,,,
2012-13,442016,2.0,2012-12-11 19:45:00,56,Sunderland,Home,125.0,18.0,1.0,4.0,3.0,3.0,,160.0,4.0,1.0,1.0,5.0,10.0,34.0,281.0,,1.0,12.0,21.0,35.0,10.0,1.0,,1.0,,,,,,,,,,,14.0,,,,,,,10.0,5.0,,,,57.0,1.0,1.0,3.0,7.0,,6.0,9.0,3.0,,13.0,2.0,55.0,72.0,1.0,30.0,20.0,,1.0,68.0,10.0,11.0,1.0,1.0,2.0,2.0,,2.0,,2.0,2.0,,,11.0,,,2.0,,,,,2.0,38.0,,14.0,10.0,1.0,1.0,101.0,46.0,8.0,2.0,4.0,9.0,8.0,,,,5.0,,83.0,42.0,8.0,,,,,193.0,163.0,2.0,26.0,22.0,49.3,,1.0,0.0,,,,2.0,1.0,,,1.0,5.0,,3.0,76.0,,13.0,150.0,37.0,60.0,11.0,5.0,19.0,14.0,2.0,122.0,13.0,253.0,,1.0,35.0,11.0,62.0,3.0,384.0,,0.0,16.0,21.0,1.0,20.0,2.0,611.0,,5.0,6.0,14.0,0.0,66.0,1.0,,146.0,80.0,,92.0,7.0,,1.0,,,,,,,,,,,,,,,,,,
2012-13,442024,3.0,2012-09-01 15:00:00,56,Sunderland,Away,152.0,23.0,,2.0,2.0,2.0,2.0,135.0,7.0,,1.0,3.0,16.0,39.0,285.0,,,10.0,12.0,12.0,2.0,,,,,,,,,,,,,,3.0,,,,,,1.0,9.0,6.0,,,,24.0,,4.0,1.0,10.0,1.0,,4.0,3.0,,20.0,3.0,50.0,58.0,4.0,15.0,8.0,,1.0,52.0,7.0,12.0,2.0,,4.0,4.0,,,,,,,,10.0,,,1.0,,,,,,12.0,,15.0,11.0,2.0,1.0,76.0,45.0,8.0,,1.0,1.0,2.0,,,,4.0,,43.0,42.0,10.0,,,,,113.0,109.0,1.0,11.0,7.0,36.2,,2.0,0.0,,,,3.0,2.0,,,,1.0,,3.0,53.0,,2.0,170.0,43.0,19.0,4.0,,11.0,11.0,,83.0,9.0,195.0,,,14.0,19.0,62.0,,354.0,,0.0,4.0,31.0,,11.0,1.0,507.0,,3.0,,25.0,0.0,55.0,,,120.0,88.0,,91.0,6.0,,,,,,,,,,,,,,,,,,,,
2012-13,442038,4.0,2012-09-15 17:30:00,56,Sunderland,Home,112.0,25.0,1.0,2.0,1.0,,,123.0,11.0,,1.0,4.0,2.0,29.0,233.0,,,17.0,18.0,10.0,5.0,,,,,,,,,,,,,,6.0,,,,,,,13.0,10.0,,,,35.0,1.0,3.0,3.0,14.0,,2.0,9.0,3.0,,24.0,4.0,77.0,52.0,3.0,12.0,7.0,1.0,2.0,58.0,18.0,11.0,1.0,,1.0,,,1.0,,1.0,1.0,,,16.0,,,1.0,,,,,,11.0,,15.0,12.0,,1.0,97.0,60.0,7.0,,3.0,3.0,1.0,,,,4.0,,48.0,45.0,11.0,,,,,137.0,129.0,,17.0,10.0,34.1,,2.0,0.0,,,,4.0,1.0,,2.0,,3.0,,3.0,50.0,,6.0,133.0,46.0,20.0,9.0,2.0,14.0,12.0,,76.0,13.0,187.0,,,9.0,4.0,49.0,1.0,306.0,,0.0,7.0,25.0,,20.0,1.0,496.0,,6.0,2.0,21.0,0.0,55.0,1.0,,135.0,56.0,,60.0,8.0,,,,,,,,,,,,,,,,,,,,
2012-13,442047,5.0,2012-09-22 15:00:00,56,Sunderland,Away,94.0,17.0,,2.0,2.0,4.0,,120.0,11.0,1.0,1.0,8.0,2.0,23.0,212.0,,,15.0,34.0,25.0,3.0,,,1.0,,,,,,,,,,,5.0,,,,,,,18.0,6.0,,,,29.0,,5.0,2.0,8.0,,1.0,8.0,2.0,,21.0,2.0,76.0,67.0,5.0,20.0,13.0,,,57.0,13.0,12.0,1.0,,,,,1.0,,1.0,1.0,,,15.0,,,1.0,1.0,,,,2.0,28.0,,18.0,15.0,1.0,1.0,87.0,52.0,10.0,,1.0,3.0,1.0,,,,10.0,,32.0,57.0,5.0,,,,,164.0,136.0,2.0,12.0,9.0,38.7,,2.0,0.0,,,,2.0,1.0,,,1.0,2.0,,3.0,56.0,,4.0,113.0,35.0,48.0,4.0,1.0,11.0,10.0,1.0,86.0,12.0,189.0,1.0,1.0,23.0,2.0,43.0,1.0,291.0,,0.0,5.0,28.0,,15.0,1.0,505.0,,2.0,1.0,25.0,0.0,49.0,,1.0,138.0,55.0,2.0,49.0,18.0,,,,,,,,,,,,,,,,,,,,
2012-13,442058,6.0,2012-09-29 15:00:00,56,Sunderland,Home,126.0,18.0,3.0,7.0,4.0,,,202.0,2.0,1.0,4.0,5.0,12.0,30.0,321.0,,,22.0,9.0,8.0,5.0,2.0,,,,,,,1.0,,,,,,6.0,,,,,,,6.0,4.0,,,,50.0,1.0,2.0,2.0,2.0,,8.0,12.0,8.0,,19.0,2.0,54.0,51.0,2.0,12.0,8.0,,1.0,64.0,22.0,17.0,1.0,,8.0,4.0,1.0,1.0,,1.0,1.0,,,9.0,,,1.0,,,,,,13.0,,13.0,10.0,,4.0,79.0,48.0,1.0,,6.0,2.0,1.0,,,,2.0,,74.0,55.0,13.0,,,,,141.0,131.0,2.0,22.0,20.0,49.8,,,0.0,,,,3.0,,,1.0,,7.0,,1.0,81.0,,8.0,139.0,27.0,22.0,12.0,6.0,30.0,24.0,,114.0,4.0,273.0,,1.0,18.0,13.0,50.0,2.0,382.0,,0.0,10.0,16.0,2.0,26.0,2.0,578.0,,10.0,8.0,13.0,0.0,69.0,1.0,,134.0,86.0,1.0,93.0,12.0,,,,,,,,,,,,,,,,,,,,
2012-13,442061,7.0,2012-10-06 12:45:00,56,Sunderland,Away,129.0,8.0,3.0,6.0,3.0,,,144.0,3.0,,4.0,8.0,14.0,19.0,267.0,,,24.0,22.0,14.0,5.0,1.0,,,,,,,,,,,,,5.0,,,,,,1.0,17.0,11.0,,,,33.0,,10.0,2.0,9.0,1.0,4.0,4.0,5.0,,13.0,3.0,57.0,44.0,10.0,11.0,5.0,,3.0,56.0,11.0,11.0,,,,1.0,,,,,,,,14.0,,,,,,,,,11.0,,13.0,11.0,2.0,4.0,73.0,38.0,15.0,,,6.0,4.0,,,,8.0,,51.0,50.0,13.0,,,,,149.0,130.0,,17.0,11.0,39.5,,,0.0,,,,6.0,,,1.0,,2.0,,3.0,47.0,,6.0,151.0,20.0,30.0,4.0,4.0,14.0,10.0,,81.0,9.0,202.0,,1.0,20.0,15.0,37.0,3.0,339.0,,0.0,8.0,17.0,,26.0,3.0,536.0,,2.0,4.0,13.0,0.0,66.0,,,122.0,77.0,,74.0,19.0,,,,,,,,,,,,,,,,,,,,
2012-13,442074,8.0,2012-10-21 13:30:00,56,Sunderland,Home,151.0,11.0,3.0,9.0,6.0,4.0,1.0,237.0,4.0,1.0,4.0,3.0,14.0,20.0,379.0,,,20.0,14.0,11.0,11.0,3.0,,,,2.0,,1.0,3.0,,,,,,13.0,,,,,,2.0,7.0,4.0,,,,57.0,,1.0,9.0,6.0,,8.0,12.0,18.0,,7.0,,58.0,59.0,1.0,13.0,10.0,,,68.0,14.0,15.0,,,5.0,3.0,3.0,,,,,,,5.0,,,,1.0,,,,,16.0,,17.0,10.0,1.0,4.0,67.0,34.0,4.0,,6.0,8.0,2.0,,,,5.0,,66.0,68.0,25.0,,,,,159.0,149.0,4.0,26.0,23.0,65.5,,,0.0,,,,2.0,2.0,,1.0,,10.0,,2.0,88.0,,14.0,160.0,29.0,23.0,24.0,8.0,41.0,33.0,,123.0,9.0,332.0,1.0,1.0,16.0,16.0,31.0,3.0,451.0,,0.0,21.0,26.0,4.0,25.0,0.0,689.0,,7.0,8.0,19.0,0.0,46.0,,,129.0,133.0,2.0,143.0,10.0,,,,,,,,,,,,,,,,,,,,
2012-13,442087,9.0,2012-10-27 15:00:00,56,Sunderland,Away,126.0,20.0,,2.0,2.0,1.0,,145.0,7.0,,4.0,3.0,15.0,28.0,269.0,,1.0,17.0,35.0,20.0,4.0,1.0,,1.0,,,,,1.0,,,,,,3.0,,,,,,2.0,11.0,5.0,,,,43.0,,2.0,3.0,8.0,,3.0,6.0,6.0,,8.0,2.0,64.0,57.0,2.0,23.0,9.0,,,65.0,7.0,12.0,,,3.0,3.0,1.0,,,,,,,14.0,,,,5.0,,,,,17.0,,11.0,7.0,2.0,4.0,86.0,50.0,7.0,,3.0,2.0,,,,,5.0,,56.0,70.0,17.0,,,,,160.0,145.0,1.0,18.0,12.0,47.8,,3.0,0.0,,,,4.0,,,1.0,1.0,4.0,,3.0,61.0,,5.0,142.0,32.0,38.0,9.0,3.0,18.0,15.0,1.0,106.0,9.0,235.0,5.0,,20.0,16.0,56.0,,359.0,,0.0,7.0,22.0,1.0,23.0,2.0,560.0,,3.0,3.0,16.0,0.0,52.0,,,142.0,79.0,1.0,86.0,11.0,,,,,,,,,,,,,,,,,,,,
2012-13,442094,10.0,2012-11-03 15:00:00,56,Sunderland,Home,121.0,13.0,2.0,11.0,9.0,4.0,1.0,220.0,3.0,2.0,2.0,20.0,15.0,36.0,330.0,,,20.0,22.0,16.0,9.0,1.0,,,,,,,,,,,,,10.0,,,,,,1.0,5.0,4.0,,,,44.0,,3.0,2.0,2.0,,6.0,27.0,9.0,,14.0,2.0,53.0,58.0,3.0,15.0,12.0,,,74.0,9.0,17.0,,,5.0,5.0,,,,,,,,5.0,,,,2.0,,,,,17.0,,17.0,14.0,1.0,2.0,81.0,51.0,7.0,,8.0,2.0,,,,,2.0,,63.0,82.0,24.0,,,,,159.0,148.0,2.0,28.0,9.0,55.6,,,0.0,,,,1.0,1.0,,1.0,,10.0,,3.0,105.0,,10.0,129.0,22.0,26.0,11.0,3.0,44.0,41.0,,151.0,18.0,324.0,2.0,2.0,33.0,16.0,56.0,5.0,409.0,,0.0,12.0,20.0,1.0,22.0,2.0,611.0,,5.0,6.0,16.0,0.0,61.0,1.0,1.0,153.0,96.0,1.0,99.0,6.0,,,1.0,,,,,,,,,,,,,,,,,
2012-13,442102,11.0,2012-11-10 15:00:00,56,Sunderland,Away,114.0,9.0,,4.0,4.0,5.0,,130.0,2.0,,1.0,12.0,4.0,19.0,240.0,,,14.0,17.0,21.0,6.0,,,,,,,,,,,,,,7.0,,,,,,1.0,12.0,6.0,,,,51.0,1.0,4.0,3.0,11.0,1.0,2.0,5.0,7.0,,5.0,1.0,58.0,58.0,4.0,23.0,12.0,,,55.0,15.0,14.0,,,,,,1.0,,1.0,,1.0,,8.0,,,,,,,,1.0,27.0,,20.0,19.0,2.0,1.0,96.0,52.0,6.0,1.0,2.0,5.0,3.0,,,,7.0,,51.0,30.0,23.0,,,,,157.0,135.0,1.0,22.0,24.0,37.4,,1.0,0.0,,,,3.0,1.0,,,,3.0,,3.0,50.0,,7.0,128.0,26.0,45.0,16.0,2.0,14.0,12.0,,99.0,14.0,212.0,,,38.0,4.0,49.0,2.0,326.0,,0.0,9.0,18.0,1.0,20.0,3.0,528.0,,5.0,2.0,13.0,0.0,51.0,2.0,1.0,130.0,80.0,2.0,65.0,7.0,,1.0,,,,,,,,,,,,,,,,,,
2012-13,442110,12.0,2012-11-18 16:00:00,56,Sunderland,Away,180.0,14.0,2.0,2.0,,1.0,,236.0,4.0,,2.0,10.0,16.0,41.0,414.0,1.0,1.0,12.0,22.0,20.0,6.0,1.0,,2.0,,,,,,,,,,,10.0,,,,,,,12.0,8.0,,,,67.0,1.0,2.0,2.0,7.0,,4.0,6.0,6.0,1.0,7.0,2.0,57.0,47.0,,10.0,6.0,,2.0,86.0,13.0,9.0,1.0,,,,,3.0,1.0,2.0,2.0,1.0,2.0,8.0,,,2.0,,,,,,18.0,,15.0,11.0,3.0,2.0,96.0,53.0,4.0,1.0,3.0,7.0,6.0,,,,7.0,,98.0,56.0,15.0,,,,,153.0,134.0,6.0,29.0,20.0,50.7,,,0.0,,,,5.0,1.0,,2.0,2.0,3.0,,2.0,95.0,,10.0,195.0,25.0,27.0,14.0,4.0,16.0,12.0,4.0,139.0,12.0,320.0,,,33.0,21.0,76.0,2.0,499.0,1.0,0.0,11.0,12.0,2.0,14.0,3.0,678.0,,6.0,4.0,11.0,0.0,89.0,1.0,,159.0,117.0,5.0,134.0,7.0,,1.0,,,,,,,,,,,,,,,,,,
2012-13,442125,13.0,2012-11-24 12:45:00,56,Sunderland,Home,161.0,22.0,3.0,9.0,6.0,4.0,1.0,205.0,3.0,,3.0,6.0,11.0,50.0,357.0,,,17.0,18.0,20.0,11.0,3.0,,,1.0,,,1.0,2.0,,,,,,13.0,,,,,,1.0,8.0,6.0,,,,49.0,1.0,2.0,3.0,3.0,,7.0,12.0,12.0,,12.0,,53.0,61.0,,10.0,6.0,1.0,,61.0,12.0,15.0,,,5.0,4.0,2.0,,,,,,,7.0,,,,3.0,,,,,12.0,,13.0,11.0,1.0,3.0,73.0,48.0,2.0,2.0,4.0,10.0,10.0,,,,2.0,,68.0,71.0,25.0,1.0,1.0,1.0,,140.0,132.0,,27.0,15.0,49.0,,,0.0,,,,1.0,1.0,,,,7.0,,3.0,89.0,,14.0,175.0,33.0,16.0,17.0,6.0,34.0,28.0,1.0,130.0,10.0,287.0,4.0,,19.0,13.0,72.0,2.0,428.0,1.0,0.0,20.0,17.0,4.0,22.0,3.0,622.0,,9.0,7.0,12.0,0.0,54.0,,,140.0,123.0,1.0,111.0,4.0,,,1.0,,,,,,,,,,,,,,,,,
2012-13,442133,14.0,2012-11-27 19:45:00,56,Sunderland,Home,175.0,15.0,3.0,7.0,4.0,,1.0,188.0,3.0,3.0,4.0,8.0,16.0,24.0,356.0,,1.0,25.0,12.0,25.0,4.0,3.0,,,,1.0,,,3.0,,,,,,7.0,,,,,,2.0,9.0,6.0,,,,60.0,,3.0,5.0,9.0,,5.0,7.0,5.0,,11.0,2.0,54.0,65.0,3.0,14.0,9.0,,,72.0,10.0,15.0,,,5.0,2.0,3.0,,,,,,,5.0,,,,,,,,,13.0,,20.0,16.0,,4.0,81.0,47.0,8.0,,3.0,4.0,4.0,,,,5.0,,90.0,49.0,16.0,,,,,156.0,145.0,3.0,25.0,24.0,50.2,,,0.0,,,,4.0,1.0,,3.0,,5.0,,3.0,69.0,,7.0,187.0,26.0,25.0,16.0,5.0,19.0,14.0,,113.0,7.0,276.0,,3.0,27.0,18.0,45.0,3.0,444.0,,0.0,14.0,21.0,3.0,28.0,1.0,664.0,,4.0,5.0,13.0,0.0,60.0,1.0,1.0,160.0,110.0,3.0,114.0,11.0,,,,,,,,,,,,,,,,,,,,
2012-13,442144,15.0,2012-12-02 16:00:00,56,Sunderland,Away,119.0,15.0,2.0,6.0,4.0,2.0,,221.0,1.0,,2.0,11.0,18.0,39.0,334.0,,1.0,18.0,16.0,17.0,5.0,2.0,,,,,1.0,,1.0,,,,,,7.0,,,,,1.0,4.0,5.0,3.0,,,,63.0,,1.0,1.0,3.0,,6.0,10.0,7.0,,4.0,1.0,49.0,57.0,,14.0,5.0,,,90.0,17.0,11.0,,1.0,3.0,2.0,1.0,1.0,,,1.0,,,6.0,,,1.0,,,,,1.0,14.0,1.0,17.0,15.0,1.0,2.0,106.0,56.0,2.0,1.0,4.0,4.0,5.0,,,,3.0,,92.0,64.0,16.0,,,,,172.0,161.0,1.0,31.0,25.0,50.4,1.0,,0.0,,,,,1.0,,1.0,,10.0,,3.0,88.0,,8.0,139.0,37.0,24.0,24.0,5.0,24.0,19.0,2.0,139.0,10.0,325.0,,,36.0,22.0,69.0,4.0,440.0,,0.0,16.0,15.0,4.0,21.0,2.0,633.0,,14.0,6.0,13.0,0.0,73.0,,1.0,181.0,100.0,1.0,86.0,9.0,,,1.0,,,,,,,,,,,,,,,,,
2012-13,442155,16.0,2012-12-08 15:00:00,56,Sunderland,Home,113.0,20.0,4.0,5.0,1.0,3.0,,172.0,5.0,4.0,3.0,12.0,12.0,36.0,280.0,1.0,,12.0,14.0,14.0,6.0,,,,,,,2.0,2.0,,,,,,6.0,,,,,,1.0,6.0,8.0,,,,42.0,,,3.0,11.0,,11.0,16.0,5.0,,13.0,2.0,62.0,59.0,,12.0,8.0,1.0,,72.0,11.0,15.0,,,2.0,,2.0,1.0,,,,1.0,,8.0,,,,1.0,,,,,14.0,1.0,9.0,8.0,1.0,3.0,85.0,57.0,1.0,1.0,1.0,6.0,5.0,,,,1.0,,59.0,55.0,13.0,1.0,1.0,1.0,,165.0,152.0,,20.0,14.0,45.3,,,0.0,,,,1.0,1.0,,1.0,,4.0,,2.0,76.0,,7.0,125.0,29.0,25.0,24.0,11.0,32.0,21.0,,120.0,9.0,259.0,1.0,4.0,34.0,15.0,61.0,,352.0,1.0,0.0,12.0,19.0,1.0,16.0,1.0,549.0,,11.0,11.0,16.0,0.0,46.0,,,153.0,77.0,4.0,76.0,16.0,,,,,,,,,,,,,,,,,,,,
2012-13,442161,17.0,2012-12-15 15:00:00,56,Sunderland,Away,109.0,7.0,,7.0,7.0,1.0,1.0,130.0,8.0,,,6.0,8.0,25.0,232.0,,,15.0,13.0,10.0,9.0,1.0,,,,,,,,,,,,,10.0,,,,,,1.0,15.0,1.0,,,,36.0,1.0,2.0,4.0,6.0,,9.0,12.0,5.0,,7.0,1.0,44.0,48.0,2.0,9.0,7.0,1.0,1.0,47.0,10.0,13.0,1.0,,2.0,3.0,,1.0,,1.0,,1.0,,14.0,,,,1.0,,,,,13.0,,23.0,18.0,4.0,,79.0,39.0,9.0,,3.0,8.0,7.0,,,,2.0,,50.0,50.0,17.0,,,,,141.0,130.0,3.0,18.0,9.0,38.5,,,0.0,,,,2.0,,,,,4.0,1.0,3.0,61.0,,11.0,126.0,23.0,20.0,10.0,9.0,29.0,20.0,,100.0,6.0,210.0,1.0,,27.0,8.0,57.0,1.0,307.0,,0.0,15.0,23.0,,21.0,0.0,500.0,,2.0,9.0,19.0,0.0,46.0,1.0,,125.0,69.0,,67.0,5.0,,,,,,,,,,,,,,,,,,,,
2012-13,442173,18.0,2012-12-22 15:00:00,56,Sunderland,Away,116.0,13.0,3.0,5.0,2.0,4.0,,129.0,5.0,1.0,1.0,7.0,7.0,27.0,240.0,1.0,,13.0,22.0,16.0,5.0,2.0,,,,,,1.0,2.0,,,,,,4.0,,,,,,,3.0,9.0,,,,60.0,1.0,5.0,2.0,11.0,,5.0,9.0,7.0,,5.0,1.0,58.0,52.0,5.0,22.0,10.0,,,71.0,16.0,12.0,1.0,,2.0,,2.0,1.0,,1.0,1.0,,,8.0,,,1.0,2.0,,,,1.0,20.0,,11.0,10.0,1.0,1.0,95.0,47.0,8.0,,3.0,5.0,5.0,,,,5.0,,59.0,41.0,12.0,,,,,166.0,142.0,2.0,32.0,17.0,42.4,,1.0,0.0,,,,,2.0,,,,3.0,1.0,3.0,61.0,,8.0,132.0,28.0,46.0,13.0,4.0,20.0,16.0,,112.0,13.0,218.0,2.0,1.0,25.0,8.0,61.0,2.0,330.0,1.0,0.0,10.0,16.0,1.0,21.0,3.0,526.0,,8.0,5.0,12.0,0.0,51.0,1.0,,137.0,66.0,3.0,76.0,11.0,,,,,,,,,,,,,,,,,,,,
2012-13,442188,19.0,2012-12-26 15:00:00,56,Sunderland,Home,86.0,16.0,,4.0,4.0,4.0,1.0,128.0,4.0,1.0,1.0,5.0,8.0,29.0,210.0,,1.0,15.0,25.0,13.0,7.0,,,2.0,,1.0,,,2.0,,,,,,9.0,,,,,,1.0,11.0,12.0,,,,50.0,,7.0,3.0,10.0,,3.0,12.0,6.0,,5.0,5.0,61.0,56.0,7.0,10.0,6.0,,,49.0,15.0,16.0,,,4.0,2.0,2.0,1.0,,,1.0,,,7.0,,,1.0,2.0,,,,2.0,13.0,,13.0,12.0,3.0,1.0,73.0,42.0,7.0,1.0,3.0,5.0,4.0,,,,8.0,,40.0,58.0,18.0,,,,,124.0,114.0,,27.0,8.0,33.0,,1.0,0.0,,,,4.0,3.0,,,2.0,5.0,,2.0,67.0,,8.0,99.0,26.0,20.0,14.0,3.0,23.0,20.0,2.0,100.0,11.0,197.0,3.0,1.0,24.0,8.0,53.0,1.0,273.0,1.0,0.0,12.0,21.0,1.0,20.0,1.0,461.0,,6.0,3.0,12.0,0.0,48.0,,,121.0,54.0,2.0,50.0,8.0,,,,,,,,,,,,,,,,,,,,
2012-13,442198,20.0,2012-12-29 12:45:00,56,Sunderland,Home,119.0,16.0,,4.0,4.0,3.0,2.0,137.0,2.0,1.0,2.0,13.0,16.0,28.0,252.0,,3.0,22.0,20.0,15.0,3.0,1.0,,,,,,1.0,1.0,1.0,,,,,4.0,,,,,,3.0,10.0,8.0,,,,67.0,1.0,3.0,3.0,10.0,,3.0,10.0,8.0,1.0,12.0,5.0,57.0,56.0,2.0,14.0,5.0,,3.0,83.0,12.0,15.0,,,7.0,5.0,1.0,,,,,,,6.0,,,,1.0,,,,3.0,9.0,,21.0,17.0,,2.0,98.0,48.0,8.0,,1.0,3.0,4.0,,,,5.0,1.0,42.0,74.0,25.0,,,,,183.0,174.0,2.0,29.0,24.0,44.7,,2.0,0.0,,,,5.0,2.0,,,,1.0,,3.0,61.0,,4.0,133.0,38.0,22.0,9.0,3.0,26.0,23.0,1.0,132.0,16.0,252.0,1.0,1.0,32.0,19.0,71.0,2.0,359.0,,0.0,8.0,23.0,4.0,28.0,1.0,576.0,,3.0,3.0,14.0,0.0,58.0,,1.0,176.0,60.0,3.0,65.0,12.0,,,,,,,,,,,,,,,,,,,,
2012-13,442200,21.0,2013-01-02 19:45:00,56,Sunderland,Away,108.0,11.0,2.0,3.0,1.0,4.0,,114.0,2.0,1.0,3.0,8.0,9.0,21.0,219.0,,,15.0,20.0,15.0,4.0,,,,,,,,2.0,,,,,,1.0,,,,,,2.0,15.0,14.0,,,,41.0,,,5.0,8.0,,5.0,6.0,2.0,,11.0,5.0,51.0,43.0,,18.0,10.0,1.0,,60.0,6.0,8.0,,,3.0,2.0,2.0,,,,,,,12.0,,,,,,,,1.0,16.0,,11.0,9.0,,3.0,86.0,38.0,9.0,,1.0,3.0,2.0,,,,9.0,,45.0,41.0,16.0,,,,,151.0,137.0,,21.0,11.0,33.8,,,0.0,,,,3.0,4.0,,1.0,,1.0,,3.0,46.0,,4.0,121.0,27.0,32.0,8.0,5.0,15.0,10.0,,90.0,16.0,197.0,,1.0,23.0,12.0,45.0,,303.0,,0.0,8.0,19.0,,19.0,1.0,479.0,,1.0,5.0,11.0,0.0,45.0,2.0,2.0,138.0,66.0,1.0,54.0,8.0,,,,,,,,,,,,,,,,,,,,
