season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attLgLeft,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attCorner,attFreekickPost,attIboxOwnGoal,attObxdRight,attPenMiss,attemptsIbox,attemptsObox,goalFastbreak,ownGoals,ptsDroppedWinningPos,ptsGainedLosingPos,secondYellow,touchesInOppBox,attFreekickGoal,attPenPost,fiftyFifty,subsGoals,successfulFiftyFifty,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,rescindedRedCard,totalDistance,attLgRight,keeperGoals,winningGoal
2019-20,1060062,37.0,2020-07-19 14:00:00,91,Bournemouth,Home,76.0,22.0,3.0,6.0,3.0,5.0,,104.0,1.0,1.0,2.0,11.0,2.0,29.0,174.0,,,17.0,41.0,37.0,6.0,2.0,,,,,,,,,5.0,,,,,,,5.0,11.0,5.0,,36.0,55.0,,,,1.0,30.0,4.0,10.0,,1.0,12.0,10.0,6.0,,17.0,2.0,84.0,68.0,1.0,11.0,6.0,,,77.0,12.0,11.0,,,3.0,3.0,,166.0,,,,,,4.0,,,,,,,,1.0,6.0,,11.0,11.0,1.0,2.0,41.0,70.0,36.0,6.0,,4.0,4.0,3.0,268.0,,,4.0,1.0,52.0,41.0,52.0,,1.0,1.0,1.0,,192.0,192.0,2.0,26.0,19.0,43.0,,1.0,30.0,0.0,,,,45.0,4.0,2.0,6.0,,,4.0,1.0,5.0,59.0,163.0,18.0,8.0,101.0,39.0,11.0,8.0,12.0,31.0,19.0,,127.0,13.0,218.0,,1.0,27.0,3.0,60.0,2.0,288.0,,0.0,11.0,17.0,1.0,31.0,2.0,506.0,14.0,3.0,12.0,7.0,0.0,6.0,,,,,7.0,4.0,,,,,,28.0,,,,,,,,,,,,,,,
2019-20,1060076,38.0,2020-07-26 16:00:00,91,Bournemouth,Away,75.0,13.0,1.0,9.0,8.0,1.0,2.0,123.0,,,1.0,9.0,2.0,20.0,189.0,,,17.0,21.0,22.0,6.0,1.0,,,,1.0,,,,,7.0,1.0,,,,,1.0,5.0,11.0,2.0,,38.0,71.0,1.0,1.0,1.0,3.0,27.0,4.0,14.0,,2.0,5.0,10.0,6.0,,16.0,,70.0,57.0,3.0,12.0,6.0,,,45.0,9.0,10.0,1.0,,4.0,5.0,1.0,141.0,2.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,,,,6.0,,13.0,13.0,4.0,1.0,43.0,51.0,24.0,2.0,1.0,2.0,7.0,7.0,267.0,,,3.0,3.0,63.0,46.0,37.0,,,,,1.0,155.0,155.0,6.0,33.0,22.0,30.0,,,27.0,0.0,,,,60.0,4.0,,4.0,1.0,,2.0,,3.0,68.0,182.0,13.0,9.0,97.0,32.0,12.0,17.0,3.0,24.0,21.0,,113.0,9.0,209.0,1.0,,24.0,3.0,50.0,1.0,282.0,,0.0,13.0,18.0,,21.0,0.0,507.0,13.0,7.0,5.0,13.0,0.0,3.0,,,,,8.0,5.0,,,,,,27.0,,,,,,,,,,,,,,,
2022-23,2292811,1.0,2022-08-06 15:00:00,91,Bournemouth,Home,145.0,19.0,1.0,4.0,3.0,1.0,1.0,70.0,10.0,,6.0,8.0,1.0,31.0,211.0,,,12.0,16.0,16.0,3.0,1.0,,,,,,,,,4.0,,,,,,2.0,9.0,4.0,11.0,,43.0,56.0,1.0,1.0,,4.0,16.0,2.0,14.0,,,5.0,5.0,1.0,1.0,5.0,2.0,58.0,62.0,4.0,36.0,19.0,,,46.0,18.0,16.0,1.0,,2.0,1.0,,137.0,1.0,,1.0,,1.0,12.0,,,,2.0,,,,,19.0,,13.0,13.0,3.0,6.0,63.0,56.0,28.0,5.0,,2.0,3.0,3.0,267.0,,,6.0,3.0,30.0,41.0,16.0,,,,,,128.0,128.0,3.0,36.0,10.0,34.4,,,16.0,0.0,,,,58.0,1.0,1.0,2.0,,,2.0,,3.0,39.0,181.0,8.0,5.0,181.0,47.0,36.0,15.0,4.0,11.0,7.0,,77.0,5.0,131.0,2.0,,19.0,1.0,61.0,1.0,301.0,,0.0,7.0,20.0,1.0,14.0,3.0,501.0,15.0,10.0,5.0,12.0,0.0,1.0,,,,,6.0,1.0,,,,,,9.0,,,19.0,,6.0,,,,,,,,,,
2022-23,2292826,2.0,2022-08-13 15:00:00,91,Bournemouth,Away,240.0,16.0,,2.0,2.0,1.0,,50.0,13.0,,3.0,3.0,2.0,21.0,288.0,,,7.0,9.0,8.0,2.0,,,,,,,,,,3.0,,,,,,,2.0,13.0,7.0,,74.0,28.0,,,,2.0,1.0,1.0,10.0,,,1.0,1.0,4.0,,4.0,2.0,36.0,33.0,2.0,20.0,8.0,1.0,,21.0,9.0,9.0,,,,,,112.0,,,,,,15.0,,,,,,,,,8.0,,6.0,6.0,6.0,3.0,86.0,36.0,20.0,11.0,,1.0,1.0,1.0,321.0,,,4.0,2.0,20.0,22.0,10.0,,,,,,88.0,88.0,2.0,19.0,3.0,33.3,,1.0,10.0,0.0,,,,81.0,3.0,1.0,4.0,,,1.0,,4.0,18.0,259.0,1.0,2.0,274.0,34.0,20.0,10.0,1.0,6.0,5.0,,35.0,1.0,85.0,,,12.0,4.0,49.0,1.0,353.0,1.0,0.0,3.0,10.0,,9.0,3.0,464.0,6.0,6.0,1.0,5.0,0.0,,,1.0,,,1.0,2.0,,1.0,,,,5.0,,,15.0,,9.0,,,,,,,,,,
2022-23,2292830,3.0,2022-08-20 17:30:00,91,Bournemouth,Home,191.0,15.0,1.0,5.0,4.0,3.0,,138.0,7.0,,5.0,4.0,,16.0,324.0,,,20.0,15.0,12.0,4.0,1.0,,1.0,,1.0,,,,,4.0,,,,,,,7.0,11.0,3.0,,63.0,55.0,,,,2.0,7.0,,12.0,,,3.0,5.0,5.0,,9.0,1.0,52.0,51.0,2.0,11.0,5.0,,,41.0,12.0,10.0,,,1.0,,1.0,149.0,,,,,,7.0,,,,1.0,,,,,5.0,,7.0,7.0,,5.0,94.0,44.0,24.0,4.0,,4.0,1.0,1.0,388.0,,,4.0,,53.0,52.0,24.0,,,,,,131.0,131.0,5.0,22.0,23.0,41.8,,,19.0,0.0,,,,105.0,3.0,,3.0,1.0,,5.0,,3.0,59.0,303.0,7.0,5.0,230.0,33.0,11.0,12.0,3.0,13.0,10.0,,87.0,7.0,194.0,1.0,,12.0,1.0,36.0,1.0,411.0,1.0,0.0,6.0,22.0,,27.0,2.0,576.0,14.0,7.0,3.0,8.0,0.0,,,,,,4.0,2.0,,,,,,12.0,,,20.0,,9.0,,,,,,,,,,
2022-23,2292845,4.0,2022-08-27 15:00:00,91,Bournemouth,Away,125.0,12.0,,2.0,2.0,3.0,2.0,88.0,7.0,,3.0,6.0,2.0,24.0,211.0,,,13.0,18.0,14.0,4.0,1.0,,,,,,,,,3.0,,,,1.0,,2.0,4.0,17.0,3.0,,52.0,55.0,,,,1.0,21.0,1.0,10.0,,1.0,1.0,2.0,,,7.0,4.0,46.0,46.0,1.0,17.0,6.0,,,42.0,5.0,6.0,,,,2.0,,140.0,,,,,,11.0,,,,1.0,,,,,6.0,1.0,11.0,11.0,2.0,3.0,51.0,68.0,36.0,8.0,,2.0,3.0,2.0,268.0,,,1.0,,61.0,29.0,11.0,,,,,,131.0,131.0,,23.0,21.0,30.6,1.0,,21.0,0.0,,,,60.0,3.0,1.0,4.0,2.0,,2.0,,5.0,29.0,185.0,12.0,5.0,161.0,24.0,17.0,12.0,1.0,5.0,4.0,,57.0,9.0,147.0,1.0,,23.0,3.0,58.0,,303.0,,0.0,5.0,20.0,,20.0,1.0,455.0,16.0,6.0,1.0,12.0,0.0,,,1.0,,,3.0,2.0,,1.0,,,,8.0,,,26.0,,13.0,,,,,,,,,,
2022-23,2292850,5.0,2022-08-31 19:30:00,91,Bournemouth,Home,156.0,20.0,1.0,3.0,2.0,2.0,,85.0,10.0,,2.0,2.0,3.0,24.0,238.0,,1.0,16.0,14.0,12.0,3.0,,,,,,,,,,5.0,,,,,,,4.0,11.0,6.0,,44.0,62.0,,,,,12.0,1.0,4.0,1.0,,2.0,2.0,2.0,,13.0,,54.0,57.0,,27.0,14.0,,,39.0,12.0,12.0,,,1.0,1.0,,137.0,,,,,,12.0,,,,2.0,,,,2.0,14.0,,8.0,8.0,,2.0,65.0,51.0,23.0,5.0,,1.0,2.0,2.0,289.0,,,5.0,1.0,34.0,37.0,16.0,,,,,,139.0,139.0,3.0,32.0,20.0,34.1,,2.0,12.0,0.0,,,,74.0,3.0,1.0,3.0,,,2.0,,3.0,40.0,214.0,6.0,3.0,177.0,35.0,27.0,22.0,2.0,7.0,5.0,,80.0,9.0,150.0,2.0,,10.0,3.0,51.0,,320.0,,0.0,5.0,24.0,1.0,21.0,2.0,519.0,21.0,9.0,2.0,20.0,0.0,,,,,,4.0,1.0,,,,,,16.0,,,15.0,,8.0,,,,,,,,,,
2022-23,2292867,6.0,2022-09-03 15:00:00,91,Bournemouth,Away,191.0,10.0,2.0,2.0,,,,170.0,5.0,,4.0,2.0,8.0,12.0,359.0,1.0,,25.0,12.0,12.0,4.0,,1.0,,,,,,,,6.0,,,,,,,6.0,8.0,3.0,,69.0,55.0,1.0,,1.0,,19.0,3.0,8.0,,,6.0,8.0,3.0,,7.0,,41.0,42.0,,29.0,17.0,,,43.0,10.0,13.0,1.0,,3.0,3.0,,144.0,3.0,,2.0,2.0,1.0,6.0,,,2.0,,,,,2.0,17.0,,3.0,3.0,,4.0,117.0,55.0,27.0,4.0,1.0,2.0,5.0,3.0,423.0,,,4.0,,64.0,63.0,27.0,1.0,1.0,1.0,,,132.0,132.0,3.0,27.0,21.0,47.3,,,19.0,0.0,,,,112.0,,1.0,1.0,,1.0,2.0,,4.0,81.0,345.0,6.0,7.0,220.0,35.0,29.0,11.0,6.0,20.0,14.0,1.0,111.0,1.0,242.0,,,17.0,8.0,49.0,1.0,442.0,1.0,0.0,8.0,12.0,1.0,29.0,1.0,626.0,13.0,5.0,6.0,8.0,0.0,2.0,,,,,6.0,2.0,,,,3.0,,17.0,,,20.0,,7.0,,,,,,,,,,
2022-23,2292870,7.0,2023-04-04 19:45:00,91,Bournemouth,Home,155.0,17.0,1.0,2.0,1.0,2.0,,116.0,9.0,1.0,8.0,,2.0,16.0,269.0,,2.0,15.0,14.0,12.0,10.0,1.0,,,,,,,,1.0,11.0,,,,,,2.0,6.0,10.0,6.0,,44.0,66.0,1.0,2.0,,,5.0,5.0,14.0,,,5.0,9.0,2.0,,5.0,3.0,55.0,42.0,,13.0,7.0,,,31.0,11.0,4.0,,,3.0,2.0,,149.0,,,,,,12.0,,,,,,,,1.0,7.0,,15.0,15.0,,9.0,86.0,40.0,20.0,5.0,,5.0,6.0,3.0,323.0,,,1.0,2.0,48.0,18.0,25.0,,,,,,128.0,128.0,6.0,21.0,27.0,36.7,,,20.0,0.0,,,,65.0,3.0,1.0,4.0,1.0,,6.0,1.0,5.0,67.0,255.0,5.0,11.0,190.0,43.0,13.0,20.0,5.0,18.0,13.0,,89.0,5.0,172.0,1.0,1.0,3.0,3.0,38.0,1.0,344.0,,0.0,14.0,18.0,4.0,17.0,1.0,523.0,14.0,8.0,5.0,8.0,0.0,1.0,,,,,10.0,4.0,,,,,,21.0,,,30.0,,13.0,,,,,,,,,,
2022-23,2292886,8.0,2022-09-17 15:00:00,91,Bournemouth,Away,109.0,2.0,,,,2.0,,56.0,5.0,,9.0,2.0,3.0,12.0,165.0,,,7.0,14.0,11.0,8.0,,,,,,,,,,10.0,,,,,,,4.0,13.0,7.0,,39.0,66.0,1.0,,1.0,1.0,20.0,2.0,5.0,,,1.0,1.0,2.0,,7.0,2.0,44.0,53.0,1.0,35.0,21.0,,,27.0,11.0,10.0,,,3.0,1.0,,116.0,1.0,,1.0,1.0,,11.0,,,1.0,4.0,,,,1.0,21.0,,8.0,8.0,1.0,9.0,46.0,45.0,14.0,8.0,1.0,4.0,5.0,3.0,214.0,,,5.0,1.0,20.0,28.0,15.0,1.0,1.0,1.0,,,125.0,125.0,2.0,27.0,19.0,27.6,,1.0,20.0,0.0,,,,44.0,5.0,1.0,6.0,1.0,,5.0,,4.0,32.0,152.0,9.0,9.0,142.0,27.0,35.0,23.0,1.0,5.0,4.0,,57.0,6.0,108.0,5.0,,9.0,3.0,44.0,1.0,245.0,1.0,0.0,10.0,18.0,,15.0,2.0,448.0,14.0,14.0,1.0,14.0,0.0,,,,,,5.0,5.0,,,2.0,,,10.0,,,18.0,,7.0,,,,,,,,,,
2022-23,2292890,9.0,2022-10-01 15:00:00,91,Bournemouth,Home,147.0,19.0,2.0,4.0,2.0,2.0,,154.0,6.0,,5.0,4.0,2.0,23.0,297.0,,,8.0,10.0,12.0,5.0,,,1.0,,1.0,,,,,4.0,,,,,,,2.0,10.0,3.0,,60.0,59.0,1.0,1.0,,3.0,5.0,2.0,6.0,,1.0,7.0,2.0,9.0,,14.0,2.0,47.0,40.0,3.0,20.0,13.0,,,62.0,11.0,9.0,,,1.0,2.0,1.0,159.0,,,,,,11.0,,,,,,,,,13.0,,9.0,9.0,,5.0,73.0,62.0,29.0,8.0,,3.0,2.0,1.0,352.0,,,4.0,,52.0,67.0,26.0,,,,,,131.0,131.0,2.0,29.0,20.0,42.0,,1.0,12.0,0.0,,,,83.0,3.0,1.0,4.0,,,4.0,,1.0,67.0,281.0,5.0,5.0,169.0,48.0,20.0,11.0,7.0,20.0,13.0,,106.0,8.0,226.0,,,10.0,2.0,53.0,1.0,375.0,1.0,0.0,7.0,14.0,,10.0,1.0,540.0,14.0,5.0,7.0,8.0,0.0,2.0,,,,,5.0,2.0,,,,,,12.0,,,24.0,,13.0,,,,,,,,,,
2022-23,2292900,10.0,2022-10-08 15:00:00,91,Bournemouth,Home,197.0,18.0,1.0,3.0,2.0,2.0,,165.0,2.0,,4.0,,3.0,18.0,359.0,,,23.0,19.0,7.0,4.0,,,1.0,,1.0,,,,,6.0,,,,,,,6.0,8.0,1.0,,73.0,61.0,1.0,,1.0,1.0,11.0,4.0,6.0,,,7.0,12.0,3.0,,15.0,1.0,64.0,46.0,1.0,12.0,9.0,,,47.0,8.0,16.0,1.0,,5.0,2.0,1.0,144.0,1.0,,1.0,1.0,,3.0,,,2.0,,,,,,9.0,,10.0,10.0,2.0,4.0,96.0,62.0,37.0,2.0,1.0,,5.0,4.0,402.0,,,2.0,1.0,55.0,82.0,27.0,,,,,,137.0,137.0,4.0,32.0,18.0,44.2,,,21.0,0.0,,,,111.0,3.0,1.0,4.0,1.0,,2.0,1.0,3.0,82.0,343.0,11.0,5.0,215.0,34.0,12.0,27.0,5.0,22.0,17.0,,114.0,2.0,231.0,1.0,,7.0,4.0,42.0,3.0,424.0,,0.0,10.0,13.0,,26.0,1.0,635.0,14.0,10.0,7.0,11.0,0.0,3.0,,,,,8.0,2.0,,,,3.0,,26.0,,,29.0,,10.0,,,,,,,,,,
2022-23,2292912,11.0,2022-10-15 15:00:00,91,Bournemouth,Away,98.0,14.0,2.0,5.0,3.0,2.0,,94.0,3.0,1.0,3.0,4.0,4.0,18.0,187.0,1.0,,9.0,19.0,18.0,4.0,2.0,,,,,,,,,4.0,,,,,,,6.0,12.0,7.0,,50.0,56.0,2.0,2.0,1.0,3.0,13.0,,8.0,,,6.0,3.0,3.0,,8.0,,49.0,44.0,3.0,46.0,31.0,,,38.0,11.0,9.0,1.0,,2.0,2.0,,120.0,2.0,,2.0,2.0,,9.0,,,2.0,1.0,,,,,31.0,,5.0,5.0,1.0,3.0,50.0,60.0,32.0,5.0,1.0,3.0,5.0,6.0,242.0,,,7.0,1.0,40.0,41.0,13.0,1.0,1.0,1.0,,,119.0,119.0,3.0,21.0,23.0,31.1,,,20.0,0.0,,,,48.0,1.0,1.0,2.0,1.0,,4.0,,4.0,38.0,173.0,13.0,8.0,124.0,34.0,46.0,7.0,4.0,12.0,8.0,,66.0,9.0,156.0,1.0,1.0,12.0,4.0,44.0,,268.0,1.0,0.0,10.0,14.0,,15.0,0.0,453.0,12.0,3.0,6.0,7.0,0.0,6.0,,,,,8.0,2.0,,,2.0,,,18.0,,,20.0,,9.0,,,,,,,,,,
2022-23,2292920,12.0,2022-10-19 19:30:00,91,Bournemouth,Home,211.0,31.0,3.0,8.0,5.0,2.0,,230.0,3.0,,4.0,,1.0,31.0,433.0,1.0,,24.0,9.0,15.0,12.0,2.0,,1.0,,1.0,,,,,11.0,,,,,,,2.0,7.0,2.0,,103.0,66.0,,,,2.0,24.0,4.0,5.0,,,7.0,9.0,6.0,,14.0,,45.0,44.0,2.0,10.0,6.0,,1.0,65.0,8.0,12.0,,,4.0,2.0,1.0,177.0,,,,,,3.0,,,,1.0,,,,,6.0,,8.0,8.0,1.0,4.0,127.0,68.0,48.0,3.0,,7.0,7.0,3.0,511.0,,,4.0,1.0,84.0,80.0,37.0,,,,,,156.0,156.0,9.0,26.0,26.0,53.5,,,24.0,0.0,,,,122.0,2.0,,2.0,2.0,,8.0,,4.0,134.0,416.0,11.0,14.0,238.0,52.0,10.0,13.0,5.0,22.0,17.0,,190.0,5.0,313.0,1.0,,10.0,1.0,58.0,2.0,529.0,4.0,0.0,15.0,13.0,4.0,24.0,1.0,719.0,20.0,4.0,7.0,5.0,0.0,2.0,,,,,10.0,5.0,,,,,,32.0,,,28.0,,14.0,,,,,,,,,,
2022-23,2292938,13.0,2022-10-24 20:00:00,91,Bournemouth,Away,200.0,19.0,,2.0,2.0,4.0,,161.0,6.0,,4.0,3.0,4.0,21.0,359.0,,,14.0,17.0,18.0,4.0,,1.0,,,,,,,,4.0,,,,,,1.0,6.0,11.0,9.0,,75.0,54.0,1.0,1.0,,2.0,7.0,,9.0,,,,3.0,4.0,,15.0,2.0,57.0,53.0,2.0,23.0,12.0,,,49.0,11.0,9.0,,,1.0,1.0,,158.0,,,,,,10.0,,,,,,,,1.0,12.0,,6.0,6.0,1.0,4.0,90.0,55.0,30.0,5.0,,2.0,2.0,3.0,410.0,,,8.0,2.0,62.0,37.0,18.0,1.0,1.0,1.0,,,127.0,127.0,2.0,21.0,26.0,45.6,,,7.0,0.0,,,,109.0,1.0,1.0,2.0,1.0,1.0,2.0,,4.0,73.0,342.0,4.0,4.0,221.0,37.0,23.0,13.0,,8.0,8.0,1.0,104.0,6.0,219.0,,,11.0,5.0,47.0,,432.0,,0.0,5.0,21.0,2.0,19.0,2.0,610.0,19.0,6.0,,16.0,0.0,,,,,,4.0,1.0,,,,,,14.0,,,28.0,,14.0,,,,,,,,,,
2022-23,2292940,14.0,2022-10-29 15:00:00,91,Bournemouth,Home,146.0,17.0,2.0,4.0,2.0,,,81.0,5.0,,3.0,5.0,2.0,22.0,223.0,,,11.0,11.0,12.0,2.0,2.0,,,,,,,,,4.0,,,,,,,6.0,16.0,7.0,,45.0,45.0,2.0,,2.0,8.0,15.0,,7.0,,,2.0,2.0,4.0,,9.0,3.0,43.0,35.0,8.0,39.0,23.0,,,29.0,10.0,5.0,2.0,,1.0,1.0,,116.0,2.0,,2.0,2.0,,11.0,,,2.0,,,,,1.0,23.0,,7.0,7.0,,3.0,70.0,53.0,29.0,19.0,,2.0,4.0,4.0,269.0,,,6.0,3.0,32.0,39.0,18.0,,,,,,108.0,108.0,1.0,25.0,15.0,30.6,,,15.0,0.0,,,,61.0,3.0,1.0,4.0,,,2.0,,3.0,36.0,208.0,4.0,6.0,168.0,29.0,39.0,7.0,2.0,9.0,7.0,,65.0,3.0,133.0,,,10.0,3.0,45.0,,292.0,,0.0,6.0,18.0,,13.0,1.0,474.0,13.0,,2.0,9.0,0.0,1.0,,,,,5.0,1.0,,,3.0,,,17.0,,,18.0,,8.0,,,,,,,,,,
2022-23,2292953,15.0,2022-11-05 15:00:00,91,Bournemouth,Away,126.0,13.0,1.0,2.0,1.0,6.0,,87.0,5.0,,5.0,3.0,7.0,21.0,211.0,,,15.0,25.0,13.0,4.0,,1.0,,,,,,,,6.0,,,,,,,4.0,15.0,3.0,,37.0,59.0,2.0,2.0,1.0,7.0,6.0,1.0,5.0,,,3.0,6.0,5.0,,15.0,,65.0,53.0,7.0,32.0,19.0,,,52.0,10.0,15.0,1.0,,2.0,3.0,,132.0,2.0,,2.0,2.0,,9.0,,,3.0,1.0,,,,1.0,19.0,,7.0,7.0,2.0,5.0,61.0,64.0,30.0,13.0,2.0,1.0,5.0,6.0,261.0,,,8.0,1.0,40.0,33.0,21.0,1.0,1.0,1.0,,,141.0,141.0,2.0,32.0,19.0,39.1,,1.0,17.0,0.0,,,,59.0,,,,1.0,1.0,2.0,,3.0,36.0,192.0,6.0,6.0,145.0,29.0,32.0,21.0,3.0,17.0,14.0,2.0,70.0,11.0,161.0,1.0,,16.0,7.0,51.0,,289.0,,0.0,9.0,15.0,,21.0,2.0,510.0,15.0,10.0,3.0,11.0,0.0,3.0,,,,,8.0,1.0,1.0,,3.0,,,19.0,,,34.0,,18.0,,,,,,,,,,
2022-23,2292960,16.0,2022-11-12 15:00:00,91,Bournemouth,Home,105.0,14.0,1.0,6.0,5.0,2.0,2.0,124.0,6.0,1.0,3.0,5.0,3.0,18.0,223.0,,,10.0,13.0,17.0,11.0,,,,,,,,,,11.0,,,,,,1.0,3.0,8.0,7.0,,49.0,57.0,2.0,,3.0,2.0,9.0,3.0,8.0,,1.0,3.0,,5.0,,19.0,,63.0,50.0,2.0,22.0,19.0,,,33.0,12.0,8.0,1.0,,2.0,2.0,,143.0,2.0,1.0,1.0,,2.0,15.0,,,1.0,,,,,,19.0,,1.0,1.0,1.0,3.0,51.0,56.0,31.0,5.0,1.0,4.0,9.0,9.0,278.0,,,6.0,,60.0,26.0,15.0,,,,,,137.0,137.0,7.0,27.0,17.0,35.8,,,13.0,0.0,,,,62.0,2.0,1.0,3.0,1.0,,4.0,,3.0,63.0,210.0,9.0,13.0,128.0,24.0,22.0,21.0,2.0,9.0,7.0,,96.0,9.0,186.0,,1.0,13.0,5.0,44.0,1.0,305.0,,0.0,16.0,15.0,2.0,13.0,2.0,489.0,18.0,10.0,3.0,10.0,0.0,4.0,,,,,12.0,4.0,,,,,,36.0,,,22.0,1.0,8.0,,,,,,,,,,
2022-23,2292973,17.0,2022-12-27 17:30:00,91,Bournemouth,Away,133.0,23.0,1.0,3.0,2.0,,,160.0,9.0,,6.0,3.0,2.0,25.0,290.0,,,13.0,8.0,11.0,5.0,1.0,,,2.0,2.0,,,,,4.0,,,,,,,2.0,11.0,4.0,,58.0,52.0,,,,,6.0,1.0,6.0,,,8.0,7.0,6.0,,12.0,2.0,41.0,44.0,,15.0,7.0,,,39.0,10.0,8.0,,,3.0,1.0,2.0,133.0,,,,,,9.0,,,,,,,,,7.0,,9.0,9.0,4.0,6.0,82.0,40.0,29.0,6.0,,4.0,2.0,4.0,336.0,,,2.0,1.0,58.0,54.0,27.0,,,,,,126.0,126.0,7.0,18.0,19.0,39.7,,,14.0,0.0,,,,84.0,2.0,1.0,3.0,,,4.0,,3.0,76.0,270.0,6.0,6.0,155.0,43.0,15.0,13.0,7.0,21.0,14.0,,105.0,3.0,223.0,,,5.0,3.0,42.0,,357.0,,0.0,9.0,17.0,,14.0,0.0,535.0,22.0,8.0,8.0,11.0,0.0,3.0,,,,,4.0,5.0,,,,,,17.0,,,19.0,,4.0,,,,,,,,,,
2022-23,2292980,18.0,2022-12-31 15:00:00,91,Bournemouth,Home,208.0,24.0,,5.0,5.0,1.0,1.0,139.0,6.0,,7.0,1.0,1.0,31.0,342.0,,,37.0,12.0,13.0,4.0,1.0,,,,,,,,,5.0,,,,,,1.0,5.0,6.0,9.0,,64.0,63.0,,1.0,,1.0,10.0,1.0,2.0,,,2.0,9.0,8.0,,18.0,1.0,61.0,53.0,1.0,17.0,8.0,,,71.0,17.0,11.0,,,1.0,1.0,,173.0,,,,,,6.0,,,,,,,,,8.0,,6.0,6.0,,7.0,109.0,76.0,44.0,7.0,,2.0,3.0,2.0,434.0,,,5.0,,55.0,61.0,32.0,,,,,,179.0,179.0,2.0,35.0,18.0,58.9,,2.0,33.0,0.0,,,,109.0,2.0,2.0,4.0,,,3.0,,4.0,80.0,323.0,10.0,5.0,246.0,54.0,17.0,24.0,2.0,20.0,18.0,,130.0,5.0,229.0,,,15.0,1.0,65.0,1.0,455.0,,0.0,6.0,17.0,,41.0,4.0,683.0,16.0,12.0,2.0,10.0,0.0,,,,,,4.0,2.0,,,,,,19.0,,,26.0,,8.0,,,,,,,,,,
