season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attFreekickMiss,foulThrowIn,goalFastbreak,secondYellow,attCorner,attFreekickGoal,attFreekickPost,attLgRight,attObxdLeft,attPenPost,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,keeperGoals,subsGoals,successfulFiftyFifty,winningGoal,totalDistance,attLgLeft
2019-20,1060064,37,2020-07-20 18:00:00,36,Brighton,Home,242.0,14.0,2.0,5.0,3.0,2.0,1.0,240.0,5.0,,7.0,3.0,4.0,20.0,477.0,,,9.0,14.0,15.0,7.0,2.0,,,,,,,,6.0,,,,,,,2.0,5.0,9.0,3.0,8.0,3.0,91.0,45.0,1.0,1.0,,2.0,19.0,3.0,10.0,,,9.0,6.0,5.0,,13.0,1.0,52.0,44.0,2.0,19.0,9.0,,,60.0,13.0,12.0,,3.0,4.0,,140.0,,,,,,7.0,,,,9.0,,10.0,10.0,,7.0,157.0,48.0,33.0,7.0,,3.0,6.0,3.0,524.0,7.0,,,88.0,61.0,26.0,,,,,,114.0,114.0,3.0,14.0,21.0,62.5,,,,,19.0,0.0,154.0,1.0,,1.0,,,5.0,,5.0,92.0,462.0,11.0,9.0,257.0,32.0,19.0,8.0,8.0,23.0,15.0,,128.0,7.0,308.0,,,6.0,4.0,37.0,1.0,542.0,,0.0,11.0,12.0,,9.0,4.0,725.0,18.0,15.0,6.0,9.0,7.0,0.0,,,,,3.0,,,,,,,,,,,,,,,,,
2019-20,1060073,38,2020-07-26 16:00:00,36,Brighton,Away,128.0,23.0,,2.0,2.0,3.0,,133.0,11.0,,4.0,6.0,2.0,38.0,259.0,,,14.0,23.0,36.0,10.0,,,,,,,,,14.0,,,,1.0,,,,2.0,10.0,3.0,9.0,6.0,67.0,56.0,2.0,2.0,,1.0,13.0,5.0,1.0,1.0,,7.0,10.0,3.0,,14.0,,52.0,57.0,1.0,31.0,19.0,,1.0,46.0,11.0,11.0,1.0,1.0,,,135.0,1.0,,,1.0,,12.0,1.0,2.0,1.0,19.0,1.0,7.0,7.0,1.0,4.0,62.0,68.0,41.0,6.0,1.0,3.0,8.0,4.0,300.0,3.0,2.0,,76.0,31.0,20.0,,,,,,137.0,137.0,1.0,30.0,14.0,45.8,1.0,,,2.0,13.0,0.0,70.0,1.0,,1.0,3.0,,6.0,,5.0,64.0,232.0,7.0,11.0,159.0,36.0,31.0,11.0,6.0,19.0,13.0,,88.0,6.0,194.0,2.0,,23.0,3.0,72.0,2.0,334.0,,0.0,15.0,6.0,,18.0,0.0,520.0,16.0,17.0,5.0,7.0,4.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,
2020-21,2128294,1,2020-09-14 20:15:00,36,Brighton,Home,232.0,22.0,1.0,3.0,3.0,1.0,,185.0,,,7.0,3.0,3.0,39.0,414.0,,1.0,20.0,13.0,10.0,8.0,1.0,,,,,,,,10.0,,,,,,,1.0,4.0,7.0,3.0,7.0,6.0,81.0,62.0,2.0,2.0,,2.0,12.0,4.0,5.0,,,4.0,6.0,5.0,,8.0,1.0,42.0,46.0,2.0,8.0,2.0,,,54.0,8.0,11.0,1.0,,,,155.0,1.0,,,1.0,,,1.0,,,2.0,,15.0,15.0,1.0,7.0,138.0,57.0,35.0,3.0,,5.0,5.0,3.0,486.0,3.0,3.0,,69.0,66.0,21.0,1.0,1.0,1.0,,,136.0,136.0,4.0,21.0,29.0,52.3,,,,,12.0,0.0,133.0,1.0,1.0,2.0,,,6.0,1.0,3.0,86.0,394.0,5.0,10.0,259.0,45.0,8.0,16.0,4.0,14.0,11.0,,132.0,3.0,262.0,,,10.0,4.0,64.0,,507.0,1.0,0.0,13.0,17.0,1.0,24.0,1.0,681.0,15.0,9.0,8.0,4.0,11.0,0.0,,,,,2.0,,,,,,,,,,,37.0,,,15.0,,,
2020-21,2128303,2,2020-09-20 14:00:00,36,Brighton,Away,189.0,24.0,,1.0,1.0,1.0,,170.0,4.0,,7.0,3.0,6.0,39.0,358.0,1.0,,13.0,21.0,15.0,6.0,,1.0,,,,,,,11.0,1.0,,,,1.0,,1.0,10.0,3.0,3.0,6.0,7.0,73.0,53.0,1.0,,2.0,2.0,12.0,1.0,2.0,,2.0,1.0,4.0,1.0,,5.0,,47.0,40.0,2.0,20.0,13.0,,,55.0,15.0,15.0,3.0,4.0,3.0,,145.0,2.0,,2.0,2.0,,6.0,2.0,2.0,,13.0,1.0,11.0,11.0,1.0,7.0,116.0,63.0,33.0,7.0,,3.0,5.0,6.0,424.0,2.0,1.0,,51.0,60.0,21.0,,,,,1.0,122.0,122.0,3.0,20.0,22.0,52.8,1.0,,,1.0,12.0,0.0,110.0,,,,,1.0,6.0,,3.0,79.0,342.0,10.0,8.0,218.0,42.0,20.0,7.0,1.0,9.0,8.0,1.0,117.0,3.0,235.0,2.0,,27.0,6.0,80.0,2.0,444.0,2.0,1.0,13.0,8.0,,17.0,0.0,598.0,13.0,11.0,2.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,20.0,,,12.0,,,
2020-21,2128306,3,2020-09-26 12:30:00,36,Brighton,Home,234.0,18.0,,6.0,6.0,,2.0,185.0,3.0,,2.0,2.0,5.0,31.0,413.0,,,18.0,11.0,10.0,13.0,,1.0,,,1.0,,,,12.0,1.0,,,1.0,1.0,2.0,1.0,4.0,7.0,1.0,12.0,6.0,84.0,57.0,4.0,3.0,2.0,,24.0,4.0,14.0,,1.0,7.0,17.0,2.0,,9.0,,56.0,58.0,,4.0,3.0,,1.0,56.0,18.0,16.0,1.0,5.0,4.0,,150.0,1.0,,1.0,1.0,,3.0,1.0,,1.0,3.0,5.0,14.0,14.0,4.0,2.0,132.0,56.0,37.0,1.0,1.0,8.0,6.0,5.0,466.0,2.0,,1.0,58.0,65.0,41.0,1.0,1.0,1.0,,1.0,126.0,126.0,7.0,26.0,22.0,53.3,4.0,3.0,,,24.0,0.0,122.0,,1.0,1.0,,1.0,9.0,,2.0,120.0,394.0,8.0,14.0,256.0,36.0,4.0,26.0,6.0,29.0,23.0,1.0,160.0,,261.0,,,14.0,5.0,62.0,1.0,488.0,1.0,0.0,18.0,12.0,,18.0,4.0,676.0,30.0,12.0,20.0,7.0,7.0,0.0,,,,,4.0,,,,,,,,,,,19.0,,,8.0,,,
2020-21,2128319,4,2020-10-03 15:00:00,36,Brighton,Away,211.0,13.0,,1.0,1.0,,,316.0,3.0,,5.0,2.0,9.0,18.0,526.0,,,14.0,9.0,4.0,5.0,,,,1.0,,,,,9.0,,,,,,,,8.0,6.0,5.0,6.0,5.0,97.0,58.0,,,1.0,,18.0,5.0,9.0,,,10.0,8.0,5.0,,14.0,2.0,51.0,52.0,,14.0,7.0,1.0,,55.0,14.0,12.0,1.0,3.0,,1.0,146.0,1.0,,,1.0,,3.0,2.0,,1.0,7.0,,9.0,9.0,,5.0,172.0,48.0,30.0,3.0,1.0,1.0,5.0,3.0,591.0,3.0,3.0,,80.0,96.0,35.0,,,,,,144.0,144.0,7.0,18.0,28.0,56.6,,,,,18.0,0.0,203.0,,2.0,2.0,2.0,,3.0,1.0,3.0,156.0,499.0,8.0,6.0,237.0,31.0,14.0,22.0,3.0,16.0,13.0,,203.0,,397.0,,,9.0,12.0,41.0,2.0,618.0,1.0,0.0,11.0,20.0,,16.0,1.0,800.0,24.0,10.0,16.0,10.0,13.0,0.0,1.0,,,,1.0,,,,,,,,,,,28.0,,,14.0,,,
2020-21,2128327,5,2020-10-18 14:00:00,36,Brighton,Away,220.0,17.0,3.0,7.0,4.0,3.0,,236.0,2.0,,4.0,1.0,4.0,29.0,449.0,1.0,,31.0,20.0,18.0,10.0,3.0,,,,,,,,13.0,,,,,,,2.0,8.0,1.0,,12.0,8.0,68.0,53.0,,,,4.0,19.0,8.0,6.0,,,5.0,5.0,4.0,,15.0,,58.0,55.0,4.0,8.0,4.0,,,78.0,13.0,12.0,,3.0,3.0,,154.0,1.0,,,1.0,,3.0,1.0,,,4.0,,7.0,7.0,1.0,4.0,164.0,69.0,38.0,2.0,,7.0,7.0,3.0,528.0,,2.0,,79.0,88.0,31.0,1.0,1.0,1.0,,,149.0,149.0,4.0,18.0,27.0,65.7,,,1.0,,19.0,0.0,158.0,,,,1.0,,9.0,1.0,3.0,115.0,436.0,8.0,14.0,243.0,39.0,8.0,14.0,5.0,17.0,12.0,,167.0,3.0,318.0,,,10.0,4.0,63.0,2.0,544.0,2.0,1.0,20.0,15.0,,34.0,2.0,746.0,37.0,18.0,10.0,5.0,9.0,0.0,,,,,5.0,,,,,,,,,,,33.0,,,20.0,,,
2020-21,2128338,6,2020-10-26 17:30:00,36,Brighton,Home,213.0,26.0,1.0,3.0,2.0,4.0,,173.0,7.0,,3.0,3.0,2.0,25.0,383.0,,,19.0,17.0,22.0,4.0,,,,,,,,,4.0,,,,,,,,11.0,3.0,6.0,3.0,2.0,72.0,62.0,1.0,1.0,,2.0,10.0,1.0,5.0,,,6.0,5.0,4.0,,11.0,2.0,57.0,55.0,2.0,21.0,9.0,,,49.0,14.0,7.0,,1.0,1.0,,159.0,,,,,,8.0,,1.0,,9.0,,13.0,13.0,2.0,3.0,120.0,75.0,40.0,2.0,,1.0,3.0,3.0,454.0,1.0,4.0,,52.0,59.0,26.0,,,,,,146.0,146.0,4.0,33.0,19.0,49.7,,2.0,,1.0,10.0,0.0,122.0,,2.0,2.0,2.0,,1.0,,3.0,79.0,367.0,3.0,4.0,238.0,44.0,21.0,18.0,6.0,16.0,10.0,,111.0,10.0,251.0,1.0,,25.0,2.0,64.0,2.0,473.0,2.0,0.0,5.0,20.0,,21.0,2.0,656.0,15.0,13.0,7.0,6.0,10.0,0.0,,,,,1.0,,,,,,,,,,,32.0,,,17.0,,,
2020-21,2128354,7,2020-11-01 19:15:00,36,Brighton,Away,217.0,14.0,1.0,4.0,3.0,1.0,,193.0,4.0,,2.0,5.0,5.0,27.0,406.0,,,20.0,17.0,12.0,3.0,2.0,,,,,,,,3.0,,,,,,,1.0,9.0,5.0,4.0,5.0,1.0,67.0,56.0,,,,1.0,14.0,2.0,2.0,,2.0,5.0,9.0,3.0,,8.0,1.0,46.0,44.0,1.0,12.0,7.0,,,55.0,13.0,13.0,,1.0,1.0,,155.0,1.0,,1.0,1.0,,5.0,1.0,,2.0,7.0,,7.0,7.0,1.0,2.0,134.0,62.0,36.0,4.0,1.0,2.0,4.0,2.0,481.0,,1.0,,68.0,74.0,32.0,1.0,1.0,1.0,,,154.0,154.0,4.0,23.0,26.0,56.6,,,,,14.0,0.0,147.0,1.0,,2.0,,,2.0,,3.0,73.0,385.0,7.0,6.0,242.0,40.0,12.0,14.0,4.0,17.0,13.0,,119.0,3.0,278.0,,,17.0,6.0,58.0,4.0,503.0,,0.0,6.0,13.0,,24.0,1.0,673.0,25.0,18.0,6.0,5.0,8.0,0.0,,1.0,,,2.0,,,,,,,,,,,29.0,,,10.0,,,
2020-21,2128357,8,2020-11-06 17:30:00,36,Brighton,Home,207.0,14.0,,11.0,11.0,,,241.0,4.0,1.0,6.0,2.0,6.0,15.0,437.0,2.0,1.0,20.0,25.0,13.0,14.0,,1.0,,1.0,,,,,16.0,,,,,,,1.0,6.0,3.0,1.0,12.0,7.0,87.0,64.0,2.0,2.0,,2.0,11.0,9.0,5.0,,,5.0,26.0,9.0,,6.0,,55.0,39.0,2.0,10.0,3.0,,,63.0,11.0,3.0,,2.0,,1.0,191.0,,,,,,5.0,,1.0,1.0,3.0,,9.0,9.0,1.0,6.0,129.0,67.0,31.0,3.0,,6.0,8.0,3.0,514.0,,,,66.0,108.0,42.0,,,,,,144.0,144.0,6.0,19.0,33.0,58.9,,,,2.0,11.0,0.0,123.0,1.0,,1.0,1.0,1.0,7.0,1.0,2.0,136.0,423.0,4.0,14.0,230.0,44.0,10.0,21.0,,35.0,35.0,1.0,179.0,2.0,335.0,1.0,1.0,18.0,6.0,47.0,1.0,530.0,3.0,0.0,19.0,11.0,2.0,23.0,1.0,704.0,50.0,8.0,12.0,5.0,7.0,0.0,,,,,1.0,,,,,,,,,,,23.0,,,8.0,,,
2020-21,2128366,9,2020-11-21 15:00:00,36,Brighton,Away,218.0,21.0,,3.0,3.0,1.0,,98.0,11.0,,7.0,2.0,4.0,26.0,313.0,,1.0,9.0,11.0,12.0,4.0,,1.0,,,,,,2.0,7.0,,,,,,,,14.0,8.0,7.0,6.0,1.0,54.0,52.0,3.0,2.0,1.0,1.0,15.0,1.0,8.0,,,3.0,7.0,5.0,,3.0,1.0,44.0,37.0,1.0,47.0,22.0,,1.0,35.0,18.0,5.0,1.0,1.0,1.0,,110.0,2.0,,1.0,2.0,,12.0,2.0,2.0,,22.0,,9.0,9.0,4.0,7.0,120.0,52.0,30.0,12.0,1.0,2.0,4.0,3.0,364.0,5.0,1.0,,43.0,25.0,27.0,,,,,,110.0,110.0,1.0,27.0,16.0,44.6,,,,1.0,15.0,0.0,101.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,34.0,295.0,10.0,6.0,246.0,38.0,47.0,6.0,3.0,16.0,13.0,1.0,66.0,2.0,155.0,2.0,,19.0,4.0,58.0,,385.0,1.0,1.0,7.0,18.0,2.0,14.0,1.0,572.0,21.0,12.0,2.0,3.0,8.0,0.0,,,,1.0,,,,,,,,,,,,21.0,,,13.0,,,
2020-21,2128377,10,2020-11-28 12:30:00,36,Brighton,Home,168.0,22.0,1.0,3.0,2.0,3.0,,107.0,,1.0,5.0,3.0,5.0,28.0,272.0,,1.0,16.0,18.0,13.0,5.0,1.0,,1.0,1.0,,,,,6.0,1.0,1.0,,,,,,4.0,3.0,3.0,7.0,4.0,46.0,66.0,1.0,2.0,1.0,,12.0,2.0,7.0,,1.0,4.0,5.0,3.0,,6.0,,46.0,60.0,,14.0,8.0,,,49.0,9.0,13.0,,4.0,1.0,1.0,145.0,,,,,,2.0,,,1.0,8.0,,14.0,14.0,2.0,5.0,84.0,65.0,29.0,3.0,1.0,3.0,3.0,3.0,335.0,3.0,1.0,,40.0,46.0,24.0,,,,,2.0,128.0,128.0,5.0,27.0,26.0,40.4,,,1.0,,12.0,0.0,77.0,,1.0,1.0,,,6.0,,3.0,56.0,263.0,9.0,6.0,191.0,42.0,14.0,20.0,4.0,13.0,9.0,,90.0,7.0,174.0,,1.0,24.0,5.0,69.0,2.0,352.0,,0.0,11.0,22.0,1.0,20.0,2.0,536.0,19.0,18.0,13.0,4.0,11.0,0.0,,,,,2.0,,,,,,,,,,,32.0,,,15.0,,,
2020-21,2128387,11,2020-12-07 20:00:00,36,Brighton,Home,154.0,21.0,,3.0,3.0,,2.0,125.0,4.0,,6.0,6.0,3.0,21.0,276.0,,,19.0,22.0,13.0,6.0,2.0,,,,,,,,9.0,1.0,,,,,,2.0,5.0,7.0,3.0,11.0,1.0,55.0,63.0,2.0,2.0,1.0,1.0,18.0,,11.0,,,4.0,8.0,4.0,0.0,10.0,,59.0,60.0,1.0,19.0,11.0,,,41.0,12.0,11.0,1.0,2.0,2.0,,136.0,,,,,,6.0,0.0,,,11.0,,10.0,10.0,2.0,7.0,95.0,62.0,26.0,3.0,0.0,6.0,2.0,4.0,354.0,3.0,3.0,0.0,55.0,47.0,21.0,1.0,1.0,1.0,,1.0,166.0,166.0,2.0,31.0,21.0,47.7,,3.0,,2.0,18.0,0.0,91.0,1.0,,1.0,,,8.0,,3.0,58.0,260.0,7.0,8.0,191.0,43.0,19.0,20.0,3.0,17.0,14.0,,94.0,2.0,203.0,,,27.0,3.0,57.0,2.0,377.0,,0.0,12.0,21.0,,30.0,3.0,585.0,28.0,19.0,15.0,4.0,11.0,0.0,,,,,,0.0,,,,,,,,,,27.0,0.0,0.0,10.0,0.0,,
2020-21,2128401,12,2020-12-13 19:15:00,36,Brighton,Away,219.0,23.0,1.0,3.0,2.0,1.0,1.0,156.0,7.0,,7.0,4.0,5.0,34.0,372.0,,1.0,9.0,15.0,10.0,6.0,3.0,,,,,,,,6.0,0.0,,,,,,3.0,5.0,13.0,2.0,6.0,6.0,81.0,54.0,1.0,1.0,,2.0,17.0,4.0,9.0,,,5.0,4.0,3.0,0.0,7.0,1.0,45.0,53.0,2.0,11.0,3.0,,,56.0,10.0,8.0,,3.0,3.0,,136.0,,,,,,8.0,0.0,,,3.0,,15.0,15.0,2.0,8.0,106.0,45.0,27.0,9.0,0.0,4.0,5.0,4.0,432.0,4.0,2.0,0.0,41.0,77.0,24.0,,,,,,120.0,120.0,2.0,22.0,22.0,45.9,,,,1.0,17.0,0.0,132.0,3.0,,3.0,,,4.0,,3.0,72.0,351.0,9.0,9.0,243.0,40.0,11.0,15.0,4.0,14.0,10.0,,110.0,3.0,226.0,,,16.0,5.0,60.0,1.0,455.0,1.0,0.0,12.0,25.0,1.0,13.0,1.0,629.0,11.0,6.0,10.0,5.0,14.0,0.0,,,,,3.0,0.0,,,,,,,,,,24.0,0.0,0.0,14.0,0.0,,
2020-21,2128408,13,2020-12-16 20:00:00,36,Brighton,Away,195.0,22.0,3.0,4.0,1.0,1.0,,157.0,2.0,,4.0,2.0,5.0,40.0,348.0,,,27.0,13.0,15.0,4.0,2.0,,1.0,1.0,,1.0,,,4.0,,,,1.0,,,,4.0,7.0,2.0,5.0,4.0,67.0,76.0,2.0,2.0,,1.0,19.0,1.0,13.0,,1.0,8.0,11.0,4.0,,10.0,4.0,52.0,53.0,1.0,5.0,3.0,,,75.0,11.0,14.0,,1.0,1.0,1.0,201.0,,,,,,6.0,,,1.0,3.0,1.0,11.0,11.0,1.0,4.0,112.0,83.0,34.0,1.0,,3.0,3.0,4.0,455.0,2.0,1.0,,81.0,67.0,27.0,,,,,,195.0,195.0,9.0,26.0,32.0,53.6,1.0,,,,19.0,0.0,101.0,4.0,,4.0,,,4.0,,3.0,71.0,330.0,9.0,7.0,229.0,58.0,5.0,15.0,7.0,23.0,16.0,,143.0,5.0,275.0,,,9.0,5.0,88.0,2.0,481.0,1.0,0.0,9.0,16.0,,32.0,0.0,689.0,17.0,19.0,9.0,8.0,5.0,0.0,,,,,4.0,,,,,,,,,,,31.0,,,13.0,,,
2020-21,2128416,14,2020-12-20 12:00:00,36,Brighton,Home,199.0,15.0,7.0,12.0,5.0,2.0,,276.0,6.0,,7.0,1.0,2.0,32.0,463.0,,,23.0,27.0,23.0,14.0,4.0,,,,,,,,13.0,,,,1.0,,,1.0,4.0,3.0,2.0,16.0,5.0,62.0,49.0,2.0,3.0,1.0,,11.0,8.0,5.0,,,14.0,16.0,6.0,,8.0,1.0,52.0,54.0,,6.0,2.0,,,53.0,9.0,11.0,,4.0,3.0,,141.0,,,,,,6.0,,2.0,,2.0,1.0,1.0,1.0,,8.0,174.0,50.0,27.0,2.0,,7.0,11.0,5.0,525.0,,1.0,,61.0,96.0,48.0,,,,,,138.0,138.0,2.0,24.0,15.0,73.5,1.0,,1.0,,11.0,0.0,168.0,,2.0,2.0,3.0,,8.0,1.0,3.0,157.0,444.0,4.0,18.0,221.0,38.0,6.0,13.0,12.0,37.0,25.0,,198.0,2.0,361.0,2.0,,12.0,2.0,55.0,1.0,545.0,1.0,0.0,21.0,12.0,,24.0,1.0,726.0,39.0,15.0,9.0,14.0,3.0,0.0,,,,,7.0,,,,,,,,,,,27.0,,,13.0,,,
2020-21,2128434,15,2020-12-27 14:15:00,36,Brighton,Away,262.0,17.0,1.0,3.0,2.0,1.0,,209.0,3.0,,5.0,7.0,4.0,41.0,468.0,,,18.0,23.0,16.0,9.0,1.0,,,,,,,,11.0,,,,,,,,4.0,8.0,3.0,8.0,5.0,79.0,63.0,,,2.0,2.0,16.0,5.0,6.0,,1.0,4.0,5.0,5.0,1.0,9.0,,51.0,42.0,2.0,17.0,10.0,,,56.0,8.0,5.0,1.0,1.0,,,167.0,,,,,,7.0,1.0,,,10.0,,12.0,12.0,2.0,5.0,175.0,66.0,31.0,5.0,,4.0,6.0,4.0,552.0,5.0,2.0,,84.0,41.0,28.0,,,,,,147.0,147.0,3.0,26.0,24.0,56.4,,2.0,,,16.0,0.0,153.0,2.0,,2.0,,,4.0,,3.0,96.0,452.0,8.0,10.0,294.0,46.0,17.0,15.0,3.0,13.0,10.0,,142.0,6.0,293.0,,,23.0,4.0,83.0,1.0,574.0,,0.0,13.0,11.0,,20.0,0.0,748.0,22.0,12.0,10.0,4.0,7.0,0.0,,,,,2.0,,,,,,,,,,,31.0,,,18.0,,,
2020-21,2128436,16,2020-12-29 18:00:00,36,Brighton,Home,221.0,20.0,2.0,8.0,6.0,1.0,,191.0,5.0,,7.0,5.0,6.0,35.0,404.0,,1.0,22.0,12.0,24.0,8.0,2.0,,,,,,,,7.0,,,,,,,,4.0,9.0,2.0,9.0,4.0,94.0,64.0,,,,1.0,20.0,6.0,5.0,,1.0,5.0,17.0,4.0,,6.0,,37.0,58.0,1.0,7.0,5.0,,,55.0,11.0,4.0,,1.0,2.0,,169.0,,,,,,8.0,,2.0,,5.0,,7.0,7.0,,7.0,105.0,61.0,39.0,4.0,,3.0,7.0,2.0,478.0,2.0,,,74.0,66.0,29.0,,,,,,122.0,122.0,8.0,22.0,25.0,49.7,,,,,20.0,0.0,124.0,2.0,,2.0,,,5.0,2.0,3.0,93.0,394.0,8.0,10.0,248.0,40.0,7.0,17.0,4.0,27.0,23.0,,132.0,6.0,271.0,2.0,,17.0,7.0,62.0,,492.0,1.0,0.0,13.0,17.0,1.0,23.0,2.0,661.0,23.0,4.0,13.0,5.0,10.0,0.0,,,,,6.0,,,,,,,,,,,26.0,,,9.0,,,
2020-21,2128446,17,2021-01-02 17:30:00,36,Brighton,Home,269.0,18.0,3.0,8.0,5.0,1.0,,213.0,4.0,,4.0,2.0,,28.0,474.0,,,15.0,9.0,19.0,7.0,1.0,,,,1.0,,,,8.0,1.0,,,1.0,,,,7.0,8.0,4.0,10.0,3.0,97.0,58.0,1.0,1.0,2.0,2.0,16.0,6.0,16.0,,,5.0,11.0,2.0,1.0,8.0,1.0,51.0,54.0,2.0,11.0,9.0,,,69.0,13.0,7.0,2.0,3.0,1.0,,161.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,9.0,1.0,15.0,15.0,1.0,4.0,154.0,59.0,40.0,8.0,,1.0,9.0,4.0,533.0,3.0,1.0,1.0,60.0,69.0,35.0,1.0,1.0,1.0,,1.0,117.0,117.0,3.0,19.0,31.0,54.5,1.0,2.0,1.0,,16.0,0.0,136.0,1.0,1.0,2.0,,,3.0,1.0,3.0,85.0,460.0,10.0,10.0,282.0,48.0,11.0,12.0,5.0,19.0,14.0,,136.0,1.0,285.0,1.0,,6.0,1.0,53.0,1.0,548.0,1.0,0.0,13.0,21.0,,17.0,2.0,720.0,29.0,15.0,7.0,5.0,9.0,0.0,,,,,4.0,,,,,,,,,,,28.0,,,12.0,,,
2020-21,2128465,18,2021-01-13 18:00:00,36,Brighton,Away,178.0,17.0,,1.0,1.0,2.0,,121.0,10.0,,3.0,1.0,1.0,20.0,298.0,,,12.0,16.0,10.0,4.0,,,,,,,,,4.0,,,,,,,,8.0,13.0,3.0,2.0,3.0,57.0,63.0,,,,1.0,20.0,1.0,18.0,,,4.0,9.0,1.0,,10.0,3.0,61.0,46.0,1.0,17.0,10.0,,,34.0,12.0,4.0,,1.0,1.0,,135.0,,,,,,12.0,,,,10.0,,11.0,11.0,5.0,3.0,93.0,42.0,25.0,8.0,,3.0,1.0,1.0,364.0,6.0,1.0,,42.0,48.0,15.0,,1.0,1.0,,,125.0,125.0,7.0,30.0,21.0,34.9,,,,,20.0,0.0,99.0,4.0,1.0,5.0,,,3.0,,3.0,56.0,284.0,7.0,4.0,214.0,37.0,17.0,17.0,4.0,15.0,11.0,,87.0,4.0,185.0,,,14.0,2.0,48.0,2.0,384.0,2.0,0.0,5.0,21.0,,12.0,2.0,544.0,12.0,6.0,11.0,4.0,15.0,0.0,,,,,1.0,,,,,,,,,,,24.0,,,9.0,,,
2020-21,2128469,19,2021-01-16 15:00:00,36,Brighton,Away,91.0,14.0,,,,3.0,,120.0,6.0,1.0,2.0,9.0,1.0,27.0,211.0,1.0,,17.0,14.0,14.0,5.0,,,,,,,,,6.0,,,,,,,1.0,3.0,4.0,3.0,5.0,2.0,45.0,70.0,1.0,,1.0,3.0,18.0,2.0,18.0,,,2.0,10.0,1.0,,8.0,,54.0,40.0,3.0,23.0,15.0,,,56.0,9.0,8.0,1.0,1.0,1.0,,147.0,1.0,,1.0,1.0,,11.0,1.0,2.0,,15.0,1.0,13.0,13.0,2.0,2.0,51.0,68.0,35.0,5.0,,3.0,3.0,2.0,275.0,2.0,,,41.0,33.0,29.0,,,,,,145.0,145.0,5.0,34.0,21.0,33.4,,,,,18.0,0.0,62.0,2.0,,2.0,1.0,,3.0,,3.0,70.0,197.0,10.0,6.0,112.0,30.0,23.0,14.0,2.0,14.0,12.0,,121.0,7.0,207.0,2.0,1.0,28.0,1.0,68.0,,305.0,1.0,0.0,7.0,10.0,1.0,27.0,1.0,480.0,17.0,14.0,9.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,35.0,,,21.0,,,
